id,city_id,name,status,type,code
1,1,Ba Đình,active,quan,001
2,1,Hoàn Kiếm,active,quan,002
3,1,Tây Hồ,active,quan,003
4,1,Long Biên,active,quan,004
5,1,Cầu Giấy,active,quan,005
6,1,Đống Đa,active,quan,006
7,1,Hai Bà Trưng,active,quan,007
8,1,Hoàng Mai,active,quan,008
9,1,Thanh Xuân,active,quan,009
10,1,Sóc Sơn,active,huyen,016
11,1,Đông Anh,active,huyen,017
12,1,Gia Lâm,active,huyen,018
13,1,Từ Liêm,active,huyen,019
14,1,Thanh Trì,active,huyen,020
15,2,Hà Giang,active,xa,024
16,2,Đồng Văn,active,huyen,026
17,2,Mèo Vạc,active,huyen,027
18,2,Yên Minh,active,huyen,028
19,2,Quản Bạ,active,huyen,029
20,2,Vị Xuyên,active,huyen,030
21,2,Bắc Mê,active,huyen,031
22,2,Hoàng Su Phì,active,huyen,032
23,2,Xín Mần,active,huyen,033
24,2,Bắc Quang,active,huyen,034
25,2,Quang Bình,active,huyen,035
26,3,Cao Bằng,active,xa,040
27,3,Bảo Lâm,active,huyen,042
28,3,Bảo Lạc,active,huyen,043
29,3,Thông Nông,active,huyen,044
30,3,Hà Quảng,active,huyen,045
31,3,Trà Lĩnh,active,huyen,046
32,3,Trùng Khánh,active,huyen,047
33,3,Hạ Lang,active,huyen,048
34,3,Quảng Uyên,active,huyen,049
35,3,Phục Hoà,active,huyen,050
36,3,Hoà An,active,huyen,051
37,3,Nguyên Bình,active,huyen,052
38,3,Thạch An,active,huyen,053
39,4,Bắc Kạn,active,xa,058
40,4,Pác Nặm,active,huyen,060
41,4,Ba Bể,active,huyen,061
42,4,Ngân Sơn,active,huyen,062
43,4,Bạch Thông,active,huyen,063
44,4,Chợ Đồn,active,huyen,064
45,4,Chợ Mới,active,huyen,065
46,4,Na Rì,active,huyen,066
47,5,Tuyên Quang,active,xa,070
48,5,Nà Hang,active,huyen,072
49,5,Chiêm Hóa,active,huyen,073
50,5,Hàm Yên,active,huyen,074
51,5,Yên Sơn,active,huyen,075
52,5,Sơn Dương,active,huyen,076
53,6,Lào Cai,active,thanh-pho,080
54,6,Bát Xát,active,huyen,082
55,6,Mường Khương,active,huyen,083
56,6,Si Ma Cai,active,huyen,084
57,6,Bắc Hà,active,huyen,085
58,6,Bảo Thắng,active,huyen,086
59,6,Bảo Yên,active,huyen,087
60,6,Sa Pa,active,huyen,088
61,6,Văn Bàn,active,huyen,089
62,7,Điện Biên Phủ,active,thanh-pho,094
63,7,Mường Lay,active,xa,095
64,7,Mường Nhé,active,huyen,096
65,7,Mường Chà,active,huyen,097
66,7,Tủa Chùa,active,huyen,098
67,7,Tuần Giáo,active,huyen,099
68,7,Điện Biên,active,huyen,100
69,7,Điện Biên Đông,active,huyen,101
70,7,Mường Ảng,active,huyen,102
71,8,Lai Châu,active,xa,104
72,8,Tam Đường,active,huyen,106
73,8,Mường Tè,active,huyen,107
74,8,Sìn Hồ,active,huyen,108
75,8,Phong Thổ,active,huyen,109
76,8,Than Uyên,active,huyen,110
77,8,Tân Uyên,active,huyen,111
78,9,Sơn La,active,thanh-pho,116
79,9,Quỳnh Nhai,active,huyen,118
80,9,Thuận Châu,active,huyen,119
81,9,Mường La,active,huyen,120
82,9,Bắc Yên,active,huyen,121
83,9,Phù Yên,active,huyen,122
84,9,Mộc Châu,active,huyen,123
85,9,Yên Châu,active,huyen,124
86,9,Mai Sơn,active,huyen,125
87,9,Sông Mã,active,huyen,126
88,9,Sốp Cộp,active,huyen,127
89,10,Yên Bái,active,thanh-pho,132
90,10,Nghĩa Lộ,active,xa,133
91,10,Lục Yên,active,huyen,135
92,10,Văn Yên,active,huyen,136
93,10,Mù Cang Chải,active,huyen,137
94,10,Trấn Yên,active,huyen,138
95,10,Trạm Tấu,active,huyen,139
96,10,Văn Chấn,active,huyen,140
97,10,Yên Bình,active,huyen,141
98,11,Hòa Bình,active,thanh-pho,148
99,11,Đà Bắc,active,huyen,150
100,11,Kỳ Sơn,active,huyen,151
101,11,Lương Sơn,active,huyen,152
102,11,Kim Bôi,active,huyen,153
103,11,Cao Phong,active,huyen,154
104,11,Tân Lạc,active,huyen,155
105,11,Mai Châu,active,huyen,156
106,11,Lạc Sơn,active,huyen,157
107,11,Yên Thủy,active,huyen,158
108,11,Lạc Thủy,active,huyen,159
109,12,Thái Nguyên,active,thanh-pho,164
110,12,Sông Công,active,xa,165
111,12,Định Hóa,active,huyen,167
112,12,Phú Lương,active,huyen,168
113,12,Đồng Hỷ,active,huyen,169
114,12,Võ Nhai,active,huyen,170
115,12,Đại Từ,active,huyen,171
116,12,Phổ Yên,active,huyen,172
117,12,Phú Bình,active,huyen,173
118,13,Lạng Sơn,active,thanh-pho,178
119,13,Tràng Định,active,huyen,180
120,13,Bình Gia,active,huyen,181
121,13,Văn Lãng,active,huyen,182
122,13,Cao Lộc,active,huyen,183
123,13,Văn Quan,active,huyen,184
124,13,Bắc Sơn,active,huyen,185
125,13,Hữu Lũng,active,huyen,186
126,13,Chi Lăng,active,huyen,187
127,13,Lộc Bình,active,huyen,188
128,13,Đình Lập,active,huyen,189
129,14,Hạ Long,active,thanh-pho,193
130,14,Móng Cái,active,thanh-pho,194
131,14,Cẩm Phả,active,xa,195
132,14,Uông Bí,active,xa,196
133,14,Bình Liêu,active,huyen,198
134,14,Tiên Yên,active,huyen,199
135,14,Đầm Hà,active,huyen,200
136,14,Hải Hà,active,huyen,201
137,14,Ba Chẽ,active,huyen,202
138,14,Vân Đồn,active,huyen,203
139,14,Hoành Bồ,active,huyen,204
140,14,Đông Triều,active,huyen,205
141,14,Yên Hưng,active,huyen,206
142,14,Cô Tô,active,huyen,207
143,15,Bắc Giang,active,thanh-pho,213
144,15,Yên Thế,active,huyen,215
145,15,Tân Yên,active,huyen,216
146,15,Lạng Giang,active,huyen,217
147,15,Lục Nam,active,huyen,218
148,15,Lục Ngạn,active,huyen,219
149,15,Sơn Động,active,huyen,220
150,15,Yên Dũng,active,huyen,221
151,15,Việt Yên,active,huyen,222
152,15,Hiệp Hòa,active,huyen,223
153,16,Việt Trì,active,thanh-pho,227
154,16,Phú Thọ,active,xa,228
155,16,Đoan Hùng,active,huyen,230
156,16,Hạ Hoà,active,huyen,231
157,16,Thanh Ba,active,huyen,232
158,16,Phù Ninh,active,huyen,233
159,16,Yên Lập,active,huyen,234
160,16,Cẩm Khê,active,huyen,235
161,16,Tam Nông,active,huyen,236
162,16,Lâm Thao,active,huyen,237
163,16,Thanh Sơn,active,huyen,238
164,16,Thanh Thuỷ,active,huyen,239
165,16,Tân Sơn,active,huyen,240
166,17,Vĩnh Yên,active,thanh-pho,243
167,17,Phúc Yên,active,xa,244
168,17,Lập Thạch,active,huyen,246
169,17,Tam Dương,active,huyen,247
170,17,Tam Đảo,active,huyen,248
171,17,Bình Xuyên,active,huyen,249
172,1,Mê Linh,active,huyen,250
173,17,Yên Lạc,active,huyen,251
174,17,Vĩnh Tường,active,huyen,252
175,17,Sông Lô,active,huyen,253
176,18,Bắc Ninh,active,thanh-pho,256
177,18,Yên Phong,active,huyen,258
178,18,Quế Võ,active,huyen,259
179,18,Tiên Du,active,huyen,260
180,18,Từ Sơn,active,xa,261
181,18,Thuận Thành,active,huyen,262
182,18,Gia Bình,active,huyen,263
183,18,Lương Tài,active,huyen,264
184,1,Hà Đông,active,quan,268
185,1,Sơn Tây,active,xa,269
186,1,Ba Vì,active,huyen,271
187,1,Phúc Thọ,active,huyen,272
188,1,Đan Phượng,active,huyen,273
189,1,Hoài Đức,active,huyen,274
190,1,Quốc Oai,active,huyen,275
191,1,Thạch Thất,active,huyen,276
192,1,Chương Mỹ,active,huyen,277
